game,platform,metric_scope,copies_sold,physical_share_pct,positive_review_pct,release_date,price_usd,as_of_date,source_url,notes
Forza Horizon 5,Steam,lifetime,6500000,,,,,2025-07-22,https://alineaanalytics.substack.com/p/forza-horizon-5-is-now-2025s-top,Steam version
Forza Horizon 5,PS5,25 days,2000000,,,,,2025-07-22,https://alineaanalytics.substack.com/p/forza-horizon-5-is-now-2025s-top,2M on PS5 25 days after launch
DEATH STRANDING 2: ON THE BEACH,PS5,25 days,1000000,,,,,2025-07-22,https://alineaanalytics.substack.com/p/forza-horizon-5-is-now-2025s-top,1M 25 days after launch; sales stabilising
Astro Bot,PS5,3 months,2000000,,,,,2025-07-22,https://alineaanalytics.substack.com/p/forza-horizon-5-is-now-2025s-top,passed 2M ~3 months after launch; will pass 3M by end of summer
Assassin's Creed Shadows,PS5,lifetime,2000000,,,2025-03-20,70,2025-07-22,https://alineaanalytics.substack.com/p/forza-horizon-5-is-now-2025s-top,around 2M on PS5; approx
Assassin's Creed Shadows,Steam,lifetime,650000,,,2025-03-20,,2025-07-22,https://alineaanalytics.substack.com/p/forza-horizon-5-is-now-2025s-top,650K on Steam
EA Sports College Football 26,PS5,launch (2 weeks),1200000,,,,,2025-07-22,https://alineaanalytics.substack.com/p/forza-horizon-5-is-now-2025s-top,approaching 1.2M after less than two weeks; approx
Tony Hawk's Pro Skater 3+4,all (Steam+PS5),lifetime,100000,,,2025-07-11,,2025-07-17,https://alineaanalytics.substack.com/p/steam-playstation-and-xboxs-most,just over 100K copies; over 85% via PlayStation; approx
PEAK,Steam,lifetime,5600000,,,,,2025-07-17,https://alineaanalytics.substack.com/p/steam-playstation-and-xboxs-most,over 5.6M total; sold ~1M last week; +300K since Monday; approx
Cyberpunk 2077,Steam,lifetime,16400000,,,,21,2025-07-17,https://alineaanalytics.substack.com/p/steam-playstation-and-xboxs-most,crossed 16.4M on Steam; $21 lowest Steam price
R.E.P.O.,Steam,lifetime,16000000,,,,,2025-07-17,https://alineaanalytics.substack.com/p/steam-playstation-and-xboxs-most,over 16M; sold 278K last week; best-selling Steam game of 2025
Sons of the Forest,Steam,lifetime,13900000,,,,10,2025-07-17,https://alineaanalytics.substack.com/p/steam-playstation-and-xboxs-most,292K last week (473K week before); discount $30 to $10
RimWorld,Steam,lifetime,5000000,,,,,2025-07-17,https://alineaanalytics.substack.com/p/steam-playstation-and-xboxs-most,core game; launched 2018; highest-ever CCU ~95K; ~300K DAU on weekend
RimWorld: Odyssey,Steam,lifetime,250000,,,2025-07-11,,2025-07-17,https://alineaanalytics.substack.com/p/steam-playstation-and-xboxs-most,DLC; 206K launch week; now over 250K; approx
PEAK,Steam,lifetime,4600000,,,,,2025-07-10,https://alineaanalytics.substack.com/p/junes-most-downloaded-games-playstation,now sold 4.6M on Steam
EA Sports FC 25,PlayStation,lifetime,19200000,,,,,2025-07-10,https://alineaanalytics.substack.com/p/junes-most-downloaded-games-playstation,total PlayStation exceeds 19.2M; 59% of FC24 players not upgraded
DEATH STRANDING 2: ON THE BEACH,PlayStation,launch (1 week),687000,,,2025-06-26,,2025-07-10,https://alineaanalytics.substack.com/p/junes-most-downloaded-games-playstation,launched #2; 687K by end of June; FF7 Rebirth sold 1.75x after two weeks
DEATH STRANDING 2: ON THE BEACH,PlayStation,lifetime,860000,,,2025-06-26,,2025-07-10,https://alineaanalytics.substack.com/p/junes-most-downloaded-games-playstation,now 860K; China #2 market; PC port predicted Q3 2026
Rematch,PlayStation,lifetime,710000,,,,,2025-07-10,https://alineaanalytics.substack.com/p/junes-most-downloaded-games-playstation,710K overall on PlayStation
Rematch,Steam,lifetime,1400000,,,,,2025-07-10,https://alineaanalytics.substack.com/p/junes-most-downloaded-games-playstation,1.4M on Steam
Forza Horizon 5,PS5,lifetime,2900000,,,,,2025-07-10,https://alineaanalytics.substack.com/p/junes-most-downloaded-games-playstation,just under 2.9M on PS5; almost surpassed Astro Bot; approx
Grand Theft Auto V,all,lifetime,215000000,,,,,2025-07-10,https://alineaanalytics.substack.com/p/junes-most-downloaded-games-playstation,215M across all platforms
Clair Obscur: Expedition 33,PlayStation,lifetime,1300000,,,,,2025-07-10,https://alineaanalytics.substack.com/p/junes-most-downloaded-games-playstation,1.3M on PlayStation; 2x Metaphor ReFantazio
Clair Obscur: Expedition 33,Steam,lifetime,2200000,,,,,2025-07-10,https://alineaanalytics.substack.com/p/junes-most-downloaded-games-playstation,2.2M on Steam
Stellar Blade,PS5,lifetime,2100000,,,,69.99,2025-07-10,https://alineaanalytics.substack.com/p/junes-most-downloaded-games-playstation,jumped 1.83M to ~2.1M in under 4 weeks after June 11 PC launch; +220K units; +$10M PS5 revenue; approx
PEAK,Steam,lifetime,3500000,,,,,2025-07-03,https://alineaanalytics.substack.com/p/junes-steam-top-10-seven-1m-sellers,sold over 3M in June; now 3.5M; almost $20M; approx
Rematch,Steam,lifetime,1300000,,,,,2025-07-03,https://alineaanalytics.substack.com/p/junes-steam-top-10-seven-1m-sellers,now 1.3M; publisher Kepler; approx
Rematch,PS5,lifetime,563000,,,,,2025-07-03,https://alineaanalytics.substack.com/p/junes-steam-top-10-seven-1m-sellers,563K on PS5; 60% played FC25 / 88% Rocket League
Elden Ring Nightreign,Steam,lifetime,2500000,,,,,2025-07-03,https://alineaanalytics.substack.com/p/junes-steam-top-10-seven-1m-sellers,sold 1.1M in June; DAUs declining; over $84M; approx
Elden Ring Nightreign,PlayStation,lifetime,1300000,,,,,2025-07-03,https://alineaanalytics.substack.com/p/junes-steam-top-10-seven-1m-sellers,1.3M on PlayStation
Stellar Blade,Steam,lifetime,1400000,,,,,2025-07-03,https://alineaanalytics.substack.com/p/junes-steam-top-10-seven-1m-sellers,to date 1.4M on Steam; approx
R.E.P.O.,Steam,lifetime,15500000,,,,8,2025-07-03,https://alineaanalytics.substack.com/p/junes-steam-top-10-seven-1m-sellers,sold 1.1M in June; total 15.5M; price drop $10 to $8
Dune: Awakening,Steam,launch (1 month),1100000,,,,,2025-07-03,https://alineaanalytics.substack.com/p/junes-steam-top-10-seven-1m-sellers,1.1M in launch month
Dune: Awakening,Steam,lifetime,1300000,,,,,2025-07-03,https://alineaanalytics.substack.com/p/junes-steam-top-10-seven-1m-sellers,now 1.3M; over $50M; approx
PEAK,Steam,lifetime,1800000,,,,,2025-06-25,https://alineaanalytics.substack.com/p/last-week-was-wild-on-steam-and-not,now 1.8M; publisher Landfall
Rematch,Steam,lifetime,964000,,,,,2025-06-25,https://alineaanalytics.substack.com/p/last-week-was-wild-on-steam-and-not,total 964K on Steam
Revenge on Gold Diggers,Steam,lifetime,1000000,,,,,2025-06-25,https://alineaanalytics.substack.com/p/last-week-was-wild-on-steam-and-not,almost 1M overall; 73% players in China; approx
Dune: Awakening,Steam,lifetime,1000000,,,,,2025-06-25,https://alineaanalytics.substack.com/p/last-week-was-wild-on-steam-and-not,crossed 1M; milestone announced by Funcom; approx
R.E.P.O.,Steam,lifetime,15000000,,,,,2025-06-25,https://alineaanalytics.substack.com/p/last-week-was-wild-on-steam-and-not,233K last week (June 16-23); lifetime 15M
Stellar Blade,Steam,lifetime,1300000,,,,,2025-06-25,https://alineaanalytics.substack.com/p/last-week-was-wild-on-steam-and-not,211K last week; 1.3M on Steam; China majority; approx
Broken Arrow,Steam,lifetime,259000,,,,,2025-06-25,https://alineaanalytics.substack.com/p/last-week-was-wild-on-steam-and-not,259K overall; 14% wishlisters Russia
Stellar Blade,Steam,launch (1 day),544000,,,2025-06-11,,2025-06-19,https://alineaanalytics.substack.com/p/stellar-blade-is-a-steam-hit-as-discounted,544K by launch day June 11
Stellar Blade,Steam,lifetime,1100000,,,2025-06-11,,2025-06-19,https://alineaanalytics.substack.com/p/stellar-blade-is-a-steam-hit-as-discounted,over 1.1M on Steam; 56% players China; approx
Stellar Blade,PS5,launch (1 week),566000,,,,,2025-06-19,https://alineaanalytics.substack.com/p/stellar-blade-is-a-steam-hit-as-discounted,PS5 version one week after 2024 launch; PC selling twice as fast
Dune: Awakening,Steam,lifetime,969000,,,,,2025-06-19,https://alineaanalytics.substack.com/p/stellar-blade-is-a-steam-hit-as-discounted,now 969K; 2.7M wishlists
R.E.P.O.,Steam,lifetime,15000000,,,,,2025-06-19,https://alineaanalytics.substack.com/p/stellar-blade-is-a-steam-hit-as-discounted,188K last week; lifetime 15M
Elden Ring Nightreign,Steam,lifetime,2300000,,,,,2025-06-19,https://alineaanalytics.substack.com/p/stellar-blade-is-a-steam-hit-as-discounted,165K last week; DAUs decaying; ~60% played 20h+
Elden Ring Nightreign,PlayStation,lifetime,1200000,,,,,2025-06-19,https://alineaanalytics.substack.com/p/stellar-blade-is-a-steam-hit-as-discounted,1.2M on PlayStation
The Alters,Steam,lifetime,135000,,,2025-06-13,,2025-06-19,https://alineaanalytics.substack.com/p/stellar-blade-is-a-steam-hit-as-discounted,to date 135K; China 45%/US 16%/Russia 6%
Resident Evil Village,Steam,lifetime,3600000,,,,,2025-06-19,https://alineaanalytics.substack.com/p/stellar-blade-is-a-steam-hit-as-discounted,3.6M on Steam; approx
Resident Evil 4,Steam,lifetime,3700000,,,,,2025-06-12,https://alineaanalytics.substack.com/p/last-weeks-top-steam-games-summer,2023 remake
Resident Evil 4,PlayStation,lifetime,5800000,,,,,2025-06-12,https://alineaanalytics.substack.com/p/last-weeks-top-steam-games-summer,2023 remake
Lies of P: Overture,Steam,lifetime,141000,,,,,2025-06-12,https://alineaanalytics.substack.com/p/last-weeks-top-steam-games-summer,DLC; 100K over weekend; attach rate over 12%
Lies of P,Steam,lifetime,1100000,,,,30,2025-06-12,https://alineaanalytics.substack.com/p/last-weeks-top-steam-games-summer,over 1.1M on Steam; discount to $30
Lies of P,PlayStation,lifetime,1100000,,,,,2025-06-12,https://alineaanalytics.substack.com/p/last-weeks-top-steam-games-summer,1.1M on PlayStation
Elden Ring Nightreign,PlayStation,lifetime,1000000,,,,,2025-06-12,https://alineaanalytics.substack.com/p/last-weeks-top-steam-games-summer,over 1M on PlayStation
Deltarune,Steam,lifetime,600000,,,2025-06-04,,2025-06-12,https://alineaanalytics.substack.com/p/last-weeks-top-steam-games-summer,600K+ overall; half in US; 63% played Undertale
Stellar Blade,Steam,launch (1 day),544000,,,2025-06-11,,2025-06-12,https://alineaanalytics.substack.com/p/last-weeks-top-steam-games-summer,544K lifetime by launch day June 11; 116K followers; 1.6M wishlists
Dune: Awakening,Steam,lifetime,700000,,88,2025-06-10,,2025-06-12,https://alineaanalytics.substack.com/p/last-weeks-top-steam-games-summer,over 700K already; peak 140K CCU launch day; user score 88%; US 43%; launched June 10
Nintendo Switch 2,Switch 2,launch (4 days),3500000,,,,,2025-06-12,https://alineaanalytics.substack.com/p/last-weeks-top-steam-games-summer,console hardware; 3.5M units in four days; Nintendo's fastest-selling console ever; to consumers
The Legend of Zelda: Link's Awakening,Switch,lifetime,7000000,,,,,2025-06-12,https://alineaanalytics.substack.com/p/last-weeks-top-steam-games-summer,7M+ on Switch; approx
Animal Crossing: New Horizons,Switch,lifetime,48000000,,,,,2025-06-12,https://alineaanalytics.substack.com/p/last-weeks-top-steam-games-summer,48M+ copies; approx
Forza Horizon 5,PS5,lifetime,2200000,,,,48,2025-06-05,https://alineaanalytics.substack.com/p/xbox-games-dominate-ps5-elden-ring,overtook AC Shadows May 15; price $60 then $48
Assassin's Creed Shadows,PS5,lifetime,1800000,,,2025-03-20,70,2025-06-05,https://alineaanalytics.substack.com/p/xbox-games-dominate-ps5-elden-ring,plateaued ~1.8M on PS5 since launch; approx
Black Myth: Wukong,all,lifetime,25000000,,,,,2025-06-05,https://alineaanalytics.substack.com/p/xbox-games-dominate-ps5-elden-ring,25M+ copies; over $1B; $42M dev budget; approx
Black Myth: Wukong,Steam,lifetime,14900000,,,,,2025-06-05,https://alineaanalytics.substack.com/p/xbox-games-dominate-ps5-elden-ring,58% China
Black Myth: Wukong,PS5,lifetime,6300000,,,,,2025-06-05,https://alineaanalytics.substack.com/p/xbox-games-dominate-ps5-elden-ring,42% China
Elden Ring Nightreign,all,lifetime,3500000,,,,,2025-06-05,https://alineaanalytics.substack.com/p/xbox-games-dominate-ps5-elden-ring,over 3.5M across all platforms; 85% PS/80% Steam played original
Elden Ring Nightreign,PS5,lifetime,1000000,,,,,2025-06-05,https://alineaanalytics.substack.com/p/xbox-games-dominate-ps5-elden-ring,almost 1M on PS5; approx
Elden Ring Nightreign,Steam,lifetime,1800000,,,,,2025-06-05,https://alineaanalytics.substack.com/p/xbox-games-dominate-ps5-elden-ring,1.8M on Steam
Elden Ring,all,lifetime,30000000,,,,,2025-06-05,https://alineaanalytics.substack.com/p/xbox-games-dominate-ps5-elden-ring,30M+ copies original; approx
R.E.P.O.,Steam,lifetime,14400000,,,,,2025-06-05,https://alineaanalytics.substack.com/p/xbox-games-dominate-ps5-elden-ring,14.4M lifetime; US ~25%/Russia ~9%; approx
Clair Obscur: Expedition 33,Steam,lifetime,1800000,,,,,2025-06-05,https://alineaanalytics.substack.com/p/xbox-games-dominate-ps5-elden-ring,1.8M on Steam; US+Japan ~half; France #3; approx
Schedule 1,Steam,lifetime,8200000,,,,,2025-06-05,https://alineaanalytics.substack.com/p/xbox-games-dominate-ps5-elden-ring,8.2M lifetime; 160K DAU down from 1.7M peak; China 0.6%
The Elder Scrolls IV: Oblivion Remastered,Steam,lifetime,2000000,,,,,2025-06-05,https://alineaanalytics.substack.com/p/xbox-games-dominate-ps5-elden-ring,crossed 2M; 71.1% played Skyrim; approx
Helldivers 2,Steam,lifetime,11700000,,,,,2025-06-05,https://alineaanalytics.substack.com/p/xbox-games-dominate-ps5-elden-ring,11.7M on Steam; ~5M wishlists; approx
EA Sports FC 25,PlayStation,lifetime,18000000,,,,,2025-06-05,https://alineaanalytics.substack.com/p/xbox-games-dominate-ps5-elden-ring,over 18M on PlayStation; 61% FC24 not played FC25; approx
Clair Obscur: Expedition 33,PS5,lifetime,1000000,,,,,2025-06-05,https://alineaanalytics.substack.com/p/xbox-games-dominate-ps5-elden-ring,over 1M on PS5; approx
Minecraft,all,lifetime,350000000,,,,,2025-06-05,https://alineaanalytics.substack.com/p/xbox-games-dominate-ps5-elden-ring,350M+ copies overall; approx
Elden Ring Nightreign,Steam,pre-orders,500000,,,,40,2025-05-27,https://alineaanalytics.substack.com/p/mays-biggest-game-isnt-out-yet-april,nearly 500K already bought pre-launch
Schedule 1,Steam,lifetime,8000000,,,,,2025-05-27,https://alineaanalytics.substack.com/p/mays-biggest-game-isnt-out-yet-april,8M lifetime; China 0.6%; approx
R.E.P.O.,Steam,lifetime,14100000,,,,10,2025-05-27,https://alineaanalytics.substack.com/p/mays-biggest-game-isnt-out-yet-april,14.1M lifetime; over half played Lethal Company or Phasmophobia
The Elder Scrolls IV: Oblivion Remastered,Steam,launch (1 month),1400000,,,,,2025-05-27,https://alineaanalytics.substack.com/p/mays-biggest-game-isnt-out-yet-april,April launch month; surprise shadow drop
The Elder Scrolls IV: Oblivion Remastered,Steam,lifetime,2000000,,,,,2025-05-27,https://alineaanalytics.substack.com/p/mays-biggest-game-isnt-out-yet-april,close to 2M; 71.1% played Skyrim; approx
Clair Obscur: Expedition 33,Steam,lifetime,1600000,,,,,2025-05-27,https://alineaanalytics.substack.com/p/mays-biggest-game-isnt-out-yet-april,1.6M on Steam; outselling Metaphor/FF; approx
Forza Horizon 5,PS5,lifetime,2000000,,,2025-03-28,,2025-05-27,https://alineaanalytics.substack.com/p/mays-biggest-game-isnt-out-yet-april,almost 2M; fastest Xbox-to-PlayStation launch; release date approx
Assassin's Creed Shadows,PS5,lifetime,1800000,,,2025-03-20,,2025-05-27,https://alineaanalytics.substack.com/p/mays-biggest-game-isnt-out-yet-april,just shy of 1.8M on PS5; approx
